epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.39669,1.01859,3.08106,1.38731,0.87974,0.22792,0.62644,0.49425,0.78279,3.57974,1.324,2.727e-05,2.727e-05,2.727e-05
2,18.3944,0.96235,2.67671,1.31419,0.85906,0.28383,0.64328,0.49973,0.72542,3.30342,1.23601,6.23701e-05,6.23701e-05,6.23701e-05
3,27.1803,0.67581,2.47483,1.13773,0.81315,0.31002,0.63288,0.48031,0.73316,3.07282,1.23776,9.60304e-05,9.60304e-05,9.60304e-05
4,35.8632,0.80337,2.42708,1.22267,0.78407,0.35102,0.63549,0.45825,0.65679,2.99847,1.18572,0.000128251,0.000128251,0.000128251
5,44.9037,0.80992,2.25935,1.19547,0.73076,0.39107,0.6096,0.44863,0.67738,3.63588,1.20571,0.000159031,0.000159031,0.000159031
6,53.8957,0.69435,2.24675,1.18521,0.75298,0.39107,0.61426,0.46227,0.7063,3.80949,1.23757,0.000188372,0.000188372,0.000188372
7,63.0126,0.72742,2.2449,1.15941,0.80283,0.34804,0.55752,0.45783,0.67308,3.13369,1.2258,0.000216273,0.000216273,0.000216273
8,71.9031,0.85664,2.48242,1.24611,0.81092,0.34846,0.6336,0.50405,0.64051,2.8914,1.21063,0.000242734,0.000242734,0.000242734
9,81.034,0.74158,2.07754,1.21258,0.70408,0.52976,0.64418,0.52551,0.63346,2.71524,1.20394,0.000267755,0.000267755,0.000267755
10,89.9447,0.88749,2.32498,1.37634,0.78784,0.48239,0.63417,0.52689,0.68902,2.65334,1.24368,0.000291336,0.000291336,0.000291336
11,98.9419,0.84355,2.17874,1.27711,0.83408,0.49396,0.66984,0.50184,0.70515,2.70491,1.24956,0.000313478,0.000313478,0.000313478
12,107.876,0.7817,2.14317,1.24018,0.85427,0.50249,0.68063,0.55088,0.71348,2.64439,1.27509,0.000334179,0.000334179,0.000334179
13,116.822,0.79819,2.11956,1.26066,0.87793,0.42281,0.67835,0.55927,0.7007,2.60655,1.27934,0.000353441,0.000353441,0.000353441
14,125.615,0.74208,1.97584,1.20185,0.83155,0.4658,0.75123,0.61296,0.69461,2.64067,1.27228,0.000371263,0.000371263,0.000371263
15,134.359,0.81331,2.07916,1.25116,0.63802,0.69643,0.78708,0.63738,0.73401,2.67485,1.28132,0.000387645,0.000387645,0.000387645
16,143.044,0.84,2.0169,1.25951,0.63802,0.69643,0.78708,0.63738,0.73401,2.67485,1.28132,0.000402587,0.000402587,0.000402587
17,151.956,0.76173,2.02566,1.2003,0.7919,0.66496,0.80671,0.62159,0.75054,2.77993,1.28485,0.000416089,0.000416089,0.000416089
18,160.673,0.86413,1.80655,1.26416,0.83936,0.5119,0.80441,0.53315,0.74107,2.82397,1.32191,0.000428152,0.000428152,0.000428152
19,169.24,0.81068,1.90948,1.20351,0.83936,0.5119,0.80441,0.53315,0.74107,2.82397,1.32191,0.000438774,0.000438774,0.000438774
20,178.007,0.79812,2.08916,1.2207,0.68245,0.66855,0.70692,0.5337,0.74161,3.05725,1.33342,0.000447957,0.000447957,0.000447957
21,186.655,0.79785,2.05963,1.2234,0.86957,0.47946,0.70242,0.50621,0.70509,2.87493,1.32622,0.0004557,0.0004557,0.0004557
22,195.407,0.84902,2.15819,1.27139,0.86957,0.47946,0.70242,0.50621,0.70509,2.87493,1.32622,0.000462003,0.000462003,0.000462003
23,204.197,0.7316,1.76322,1.16689,0.84788,0.59877,0.7041,0.52241,0.77181,2.74535,1.31698,0.000466866,0.000466866,0.000466866
24,212.803,0.74195,1.83623,1.16362,0.84788,0.59877,0.7041,0.52241,0.77181,2.74535,1.31698,0.000470289,0.000470289,0.000470289
25,221.537,0.81999,2.04754,1.13765,0.84715,0.51204,0.69816,0.5211,0.7061,2.65221,1.26518,0.000472273,0.000472273,0.000472273
26,230.399,0.72377,1.83431,1.16108,0.84715,0.51204,0.69816,0.5211,0.7061,2.65221,1.26518,0.000459045,0.000459045,0.000459045
27,238.901,0.73114,1.93761,1.22785,0.70199,0.62437,0.71019,0.58239,0.64868,2.63474,1.21767,0.000441047,0.000441047,0.000441047
28,247.529,0.7786,1.88205,1.18479,0.70199,0.62437,0.71019,0.58239,0.64868,2.63474,1.21767,0.000423049,0.000423049,0.000423049
29,256.279,0.65764,1.74689,1.12347,0.72951,0.64514,0.75304,0.64144,0.55461,2.4906,1.13149,0.00040505,0.00040505,0.00040505
30,265.003,0.8792,1.94959,1.34253,0.72951,0.64514,0.75304,0.64144,0.55461,2.4906,1.13149,0.000387052,0.000387052,0.000387052
31,273.688,0.75584,1.8894,1.161,0.7236,0.66337,0.75958,0.60086,0.54453,2.396,1.12134,0.000369054,0.000369054,0.000369054
32,282.138,0.63011,1.66713,1.08913,0.7236,0.66337,0.75958,0.60086,0.54453,2.396,1.12134,0.000351056,0.000351056,0.000351056
33,290.806,0.66998,1.74557,1.17488,0.71819,0.67888,0.8649,0.66783,0.56773,2.28374,1.12193,0.000333058,0.000333058,0.000333058
34,299.384,0.71492,1.74283,1.21025,0.71819,0.67888,0.8649,0.66783,0.56773,2.28374,1.12193,0.000315059,0.000315059,0.000315059
35,307.99,0.61611,1.89923,1.13023,0.6761,0.69643,0.88928,0.66058,0.58694,2.187,1.139,0.000297061,0.000297061,0.000297061
36,316.577,0.73925,1.83788,1.15642,0.6761,0.69643,0.88928,0.66058,0.58694,2.187,1.139,0.000279063,0.000279063,0.000279063
37,325.373,0.76402,1.83368,1.18946,0.7405,0.67857,0.86624,0.632,0.58579,2.16832,1.13128,0.000261065,0.000261065,0.000261065
38,333.941,0.74633,1.78204,1.21424,0.7405,0.67857,0.86624,0.632,0.58579,2.16832,1.13128,0.000243067,0.000243067,0.000243067
39,342.443,0.78634,1.84119,1.193,0.75332,0.67101,0.86912,0.6448,0.57522,2.13203,1.12785,0.000225068,0.000225068,0.000225068
40,351.178,0.81708,1.8407,1.27556,0.75332,0.67101,0.86912,0.6448,0.57522,2.13203,1.12785,0.00020707,0.00020707,0.00020707
41,359.751,0.57936,2.47534,1.18029,0.75789,0.65767,0.96549,0.69062,0.54659,2.1313,1.11122,0.000189072,0.000189072,0.000189072
42,368.36,0.61188,2.43139,1.24889,0.75789,0.65767,0.96549,0.69062,0.54659,2.1313,1.11122,0.000171074,0.000171074,0.000171074
43,376.992,0.61823,2.51032,1.21516,0.57646,0.83594,0.96556,0.72618,0.52653,2.17748,1.08314,0.000153076,0.000153076,0.000153076
44,385.734,0.53727,2.2869,1.18453,0.57646,0.83594,0.96556,0.72618,0.52653,2.17748,1.08314,0.000135077,0.000135077,0.000135077
45,394.39,0.4569,2.06289,1.09145,0.66831,0.8027,0.96506,0.73899,0.50873,2.19595,1.0579,0.000117079,0.000117079,0.000117079
46,403.519,0.4837,2.07908,1.0893,0.66831,0.8027,0.96506,0.73899,0.50873,2.19595,1.0579,9.9081e-05,9.9081e-05,9.9081e-05
47,412.175,0.4378,2.22518,1.17676,0.70684,0.77679,0.96417,0.75673,0.48046,2.17837,1.03323,8.10828e-05,8.10828e-05,8.10828e-05
48,421.172,0.65549,2.32673,1.23645,0.70684,0.77679,0.96417,0.75673,0.48046,2.17837,1.03323,6.30846e-05,6.30846e-05,6.30846e-05
49,430.16,0.44789,1.95619,1.02174,0.72864,0.76964,0.96296,0.76881,0.46997,2.11312,1.02112,4.50864e-05,4.50864e-05,4.50864e-05
50,438.949,0.51794,2.08328,1.13506,0.72864,0.76964,0.96296,0.76881,0.46997,2.11312,1.02112,2.70882e-05,2.70882e-05,2.70882e-05
